,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,12916.14,239258008841,1,271238851908.0,28389959999,13243.91,12370.23,493.09,3.96911,9068088689.0,3.93939,18523962.0,21000000.0,21000000.0,19665.39,-34.32049,2017-12-16T00:00:00.000Z,67.81,18947.81932,2013-07-06T00:00:00.000Z,,2020-10-22T13:19:18.459Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,413.55,46776971029,2,,12968728107,413.89,380.97,31.71,8.3034,3581106308.0,8.29039,113111201.3115,,,1448.18,-71.44357,2018-01-13T00:00:00.000Z,0.432979,95412.46434,2015-10-20T00:00:00.000Z,"{'times': 41.93502165066192, 'currency': 'btc', 'percentage': 4193.502165066193}",2020-10-22T13:18:41.998Z
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,16091882312,3,,34555240344,1.01,0.981837,0.0005719,0.05714,181247530.0,1.13916,16067674994.7165,10166574840.0,,1.32,-24.30579,2018-07-24T00:00:00.000Z,0.572521,74.92923,2015-03-02T00:00:00.000Z,,2020-10-22T13:08:06.739Z
3,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp.png?1564480400,0.261172,11817517611,4,,1787153393,0.264493,0.248545,0.01181577,4.73852,534891805.0,4.74085,45248061374.0,100000000000.0,,3.4,-92.31497,2018-01-07T00:00:00.000Z,0.00268621,9622.69942,2014-05-22T00:00:00.000Z,,2020-10-22T13:19:03.582Z
4,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,271.86,5026642264,5,,2768998284,271.59,257.09,14.03,5.44328,260042139.0,5.45551,18551314.6467998,21000000.0,,3785.82,-92.86438,2017-12-20T00:00:00.000Z,76.93,251.13059,2018-12-16T00:00:00.000Z,,2020-10-22T13:19:07.803Z
5,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,31.01,4580826466,6,,428049232,31.19,29.37,1.63,5.53593,238345403.0,5.48869,147883948.0,179883948.0,,39.68,-22.35516,2019-06-22T12:20:21.894Z,0.0398177,77273.92918,2017-10-19T00:00:00.000Z,,2020-10-22T13:19:50.281Z
6,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,11.51,4460973226,7,11482274123.0,878724284,11.53,10.43,1.08,10.38288,422481827.0,10.46138,388509556.43444455,1000000000.0,1000000000.0,19.83,-42.4281,2020-08-16T08:03:52.426Z,0.148183,7602.54012,2017-11-29T00:00:00.000Z,,2020-10-22T13:18:48.906Z
7,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,4.32,3977792609,8,4218077323.0,185972917,4.33,4.03,0.2881,7.15248,277247359.0,7.49207,924155342.73516,1005104475.63836,,6.8,-37.09887,2020-09-01T07:49:43.390Z,2.7,58.63238,2020-08-20T05:48:11.359Z,,2020-10-22T13:19:30.791Z
8,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,55.37,3638811237,9,,3104612801,56.2,50.91,4.3,8.42399,278494431.0,8.28774,65722240.2944759,84000000.0,,360.66,-84.72821,2017-12-18T00:00:00.000Z,1.15,4694.31213,2015-01-14T00:00:00.000Z,,2020-10-22T13:18:43.894Z
9,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.109967,3412553435,10,,402412642,0.109903,0.10417,0.00579693,5.56486,173245756.0,5.34823,31112484646.0,45000000000.0,,1.18,-90.75902,2018-01-04T00:00:00.000Z,0.01925275,466.06577,2020-03-13T02:22:55.044Z,,2020-10-22T13:20:03.810Z
10,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,168.98,3128741290,11,,616244820,170.24,163.13,5.67,3.46994,114579349.0,3.80137,18549845.3944233,21000000.0,,438.61,-61.71502,2020-01-14T23:34:56.231Z,42.02,299.64845,2018-11-23T00:00:00.000Z,,2020-10-22T13:19:32.655Z
11,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,2804136271,12,,681484616,1.01,0.98794,0.00237578,0.23793,9771284.0,0.34968,2804267209.47373,2804267209.47373,,1.17,-14.7287,2019-05-08T00:40:28.300Z,0.924188,8.20116,2020-08-02T04:44:57.506Z,,2020-10-22T13:20:04.076Z
12,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,2.68,2527786738,13,,1632696117,2.7,2.58,0.089989,3.47575,83909578.0,3.43346,945876470.9989,,,22.71,-88.26887,2018-04-29T07:50:33.540Z,0.5024,430.31241,2017-10-23T00:00:00.000Z,"{'times': 1.7061153584419768, 'currency': 'usd', 'percentage': 170.61153584419768}",2020-10-22T13:18:40.339Z
13,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,126.39,2241556431,14,,391769907,126.16,119.3,4.48,3.67493,79600798.0,3.68189,17735514.0051499,,,542.33,-76.985,2018-01-09T00:00:00.000Z,0.216177,57638.05477,2015-01-14T00:00:00.000Z,,2020-10-22T13:19:46.426Z
14,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.099033,2061521794,15,,65767216,0.106009,0.098179,-0.00603906,-5.74754,-129163572.52469303,-5.89603,20851141552.51142,100000000000.0,,0.190943,-48.38139,2020-08-21T07:44:09.285Z,0.0121196,713.24665,2019-02-08T00:00:00.000Z,,2020-10-22T13:19:29.359Z
15,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.027393,1959888246,16,,710648477,0.02747515,0.0266286,0.00056572,2.10874,39850753.0,2.07552,71660220128.0,100850743812.0,,0.231673,-88.23141,2018-01-05T00:00:00.000Z,0.00180434,1411.05633,2017-11-12T00:00:00.000Z,"{'times': 13.417367724934032, 'currency': 'usd', 'percentage': 1341.7367724934031}",2020-10-22T13:19:13.816Z
16,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.086306,1799827475,17,,195208080,0.08709,0.082251,0.00405511,4.93016,81734914.0,4.75731,20853997520.9376,50000000000.0,,0.875563,-90.14279,2018-01-03T00:00:00.000Z,0.00047612,18026.83747,2015-03-05T00:00:00.000Z,,2020-10-22T13:19:15.480Z
17,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,2.21,1602956541,18,,111792472,2.22,2.11,0.102799,4.88334,69405665.0,4.52581,728449103.081569,,,4.44,-50.59293,2020-08-13T00:27:02.749Z,0.350476,526.15113,2018-12-07T00:00:00.000Z,"{'times': 3.697662795893, 'currency': 'usd', 'percentage': 369.7662795893}",2020-10-22T13:19:14.887Z
18,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,12907.36,1384441692,19,1384441692.0,107599343,13203.55,12427.64,445.88,3.57805,55120308.0,4.1465,107335.72738589,107335.72738589,107335.72738589,14024.71,-8.23415,2019-06-26T20:24:09.709Z,3139.17,309.97716,2019-04-02T00:00:00.000Z,,2020-10-22T13:19:55.175Z
19,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02088325,1379990360,20,,125489314,0.02349293,0.02067727,1.862e-05,0.08923,124411551.0,9.9087,66140320195.4766,66140320195.4766,,0.03159087,-33.86186,2020-10-12T21:29:00.007Z,0.00728854,186.66374,2020-03-18T04:29:40.819Z,,2020-10-22T13:20:05.215Z
20,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,4.86,1336894924,21,,46788371,5.08,4.8,-0.15717298,-3.13078,-35345751.74328328,-2.57577,275512058.43,300000000.0,,7.4,-34.33683,2020-02-16T03:09:13.740Z,0.580608,737.0429,2019-01-14T00:00:00.000Z,,2020-10-22T13:20:00.006Z
21,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,18.74,1319204100,22,,377007857,18.92,17.93,0.800097,4.45888,50725507.0,3.99892,70530000.0,100000000.0,,198.38,-90.57162,2018-01-15T00:00:00.000Z,0.078349,23772.7491,2016-10-21T00:00:00.000Z,"{'times': 519.6664374216267, 'currency': 'usd', 'percentage': 51966.64374216267}",2020-10-22T13:20:07.927Z
22,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,5.49,1304681922,23,,174517413,5.5,5.22,0.226875,4.3078,53295357.0,4.2589,238526146.88641,,,8.84,-38.32821,2020-08-25T11:49:21.269Z,1.16,369.91007,2020-03-13T02:27:44.591Z,"{'times': 53.93495812766846, 'currency': 'usd', 'percentage': 5393.495812766846}",2020-10-22T13:19:18.745Z
23,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,1.24,1210428511,24,,11007784,1.26,1.22,0.02544729,2.09096,20345189.0,1.70956,975317997.9,985239504.0,,2.03,-38.78857,2019-06-26T14:44:57.684Z,0.799859,55.09052,2019-12-24T15:14:35.376Z,,2020-10-22T13:19:59.176Z
24,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,4.55,1056447297,25,,64654395,4.58,4.45,0.064913,1.4474,14232329.0,1.36558,233370544.97192115,500000000.0,,6.07,-25.41942,2018-06-06T01:58:09.128Z,0.90862,398.56074,2019-01-30T00:00:00.000Z,"{'times': 3.5956930200241213, 'currency': 'usd', 'percentage': 359.56930200241214}",2020-10-22T13:19:56.315Z
